"id","nearc2","nearc4","educ","age","fatheduc","motheduc","weight","momdad14","sinmom14","step14","reg661","reg662","reg663","reg664","reg665","reg666","reg667","reg668","reg669","south66","black","smsa","south","smsa66","wage","enroll","KWW","IQ","married","libcrd14","exper","lwage","expersq","region"
53,1,1,16,24,10,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,824,0,24,119,1,1,2,6.71417045593262,4,662
54,1,1,18,34,NA,12,408301,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,47,122,1,1,10,6.35784244537354,100,662
55,1,1,11,28,6,10,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,255,0,32,90,1,1,11,5.54126358032227,121,662
62,1,1,16,30,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,47,118,1,1,8,6.86901426315308,64,662
63,1,1,10,31,8,6,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,944,0,37,105,1,0,15,6.85012626647949,225,662
64,1,1,18,34,8,11,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1146,1,43,115,1,1,10,7.04403305053711,100,662
77,1,1,6,27,2,6,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,324,0,16,NA,1,1,15,5.78074359893799,225,662
79,1,1,11,24,6,12,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,235,0,27,65,5,1,7,5.45958566665649,49,662
80,1,1,12,34,11,10,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,45,120,1,0,16,6.90775537490845,256,662
81,1,1,9,26,NA,12,422407,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,31,86,4,1,11,6.17586708068848,121,662
82,1,1,15,32,10,12,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,624,0,39,109,1,1,11,6.43615055084229,121,662
83,1,1,11,34,8,10,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,36,72,1,0,17,6.47697257995605,289,662
87,1,1,12,24,NA,10,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,344,0,31,NA,6,0,6,5.84064149856567,36,662
90,1,1,16,24,12,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380,0,NA,NA,6,0,2,5.94017124176025,4,662
91,1,1,12,24,12,11,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353,0,25,101,1,1,6,5.86646795272827,36,662
92,1,1,13,25,NA,12,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,659,0,29,105,6,1,6,6.49072360992432,36,662
93,1,1,17,28,10,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,621,1,48,136,1,1,5,6.43133115768433,25,662
97,1,1,12,25,10,11,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,440,0,40,101,1,1,7,6.0867748260498,49,662
98,1,1,12,26,12,10,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,738,0,34,96,6,1,8,6.60394382476807,64,662
102,1,1,11,31,5,5,158413,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,280,0,36,NA,1,0,14,5.63478946685791,196,662
107,1,1,10,24,5,NA,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,434,0,34,NA,1,1,8,6.07304430007935,64,662
108,1,1,12,27,NA,8,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,34,101,1,1,9,6.55819797515869,81,662
110,1,1,12,27,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32,91,1,1,9,6.05208921432495,81,662
111,1,1,12,24,NA,4,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,571,0,35,NA,1,1,6,6.34738922119141,36,662
112,1,1,16,30,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,52,115,6,1,8,6.28785848617554,64,662
115,1,1,16,32,12,12,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,740,0,49,113,1,1,10,6.60665035247803,100,662
116,1,1,13,32,10,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,673,1,43,123,1,1,13,6.51174545288086,169,662
119,1,1,12,34,10,10,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36,95,1,1,16,6.64509105682373,256,662
121,1,1,12,24,10,10,90339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,0,26,102,1,1,6,6.38350677490234,36,662
125,1,1,9,24,12,11,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,213,0,15,NA,6,1,9,5.36129236221313,81,662
127,1,1,16,34,12,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1563,0,50,145,1,1,12,7.35436248779297,144,662
129,1,1,16,28,11,11,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,774,0,35,114,1,1,6,6.65157175064087,36,662
131,1,1,12,26,8,9,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,600,0,35,113,1,0,8,6.39692974090576,64,662
133,1,1,18,24,16,16,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,24,NA,6,1,0,6.54102993011475,0,662
135,1,1,13,31,8,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,40,93,5,1,12,6.34563636779785,144,662
136,1,1,14,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,433,0,38,NA,5,1,8,6.07073783874512,64,662
137,1,1,15,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,37,119,2,0,7,6.28785848617554,49,662
138,1,1,12,25,12,9,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,35,108,6,1,7,6.44094657897949,49,662
139,1,1,8,31,12,11,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35,NA,1,1,17,6.17586708068848,289,662
141,1,1,12,26,6,11,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,545,0,26,72,1,1,8,6.30078601837158,64,662
142,1,1,12,25,12,9,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,576,0,34,86,1,1,7,6.35610771179199,49,662
144,1,1,16,25,14,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,700,0,42,123,1,1,3,6.55108022689819,9,662
147,1,1,16,28,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,788,0,38,103,1,1,6,6.66949796676636,36,662
148,1,1,17,27,12,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1012,0,42,101,1,1,4,6.91968393325806,16,662
149,1,1,12,24,12,10,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,758,0,30,NA,1,1,6,6.63068342208862,36,662
150,1,1,14,29,12,16,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,601,1,41,105,6,1,9,6.39859485626221,81,662
151,1,1,12,24,NA,12,357519,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,283,0,34,NA,6,1,6,5.64544677734375,36,662
154,1,1,12,24,12,12,397244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,29,NA,6,1,6,5.52146100997925,36,662
156,1,1,12,26,10,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33,95,1,1,8,6.21460819244385,64,662
157,1,1,11,31,8,6,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550,0,41,98,1,1,14,6.30991840362549,196,662
158,1,1,12,25,8,6,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1143,0,27,NA,1,1,7,7.04141187667847,49,662
159,1,1,18,31,8,8,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,810,0,39,115,4,0,7,6.69703435897827,49,662
164,1,1,12,28,NA,9,104596,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,313,0,20,60,6,1,10,5.74620342254639,100,662
166,1,1,18,25,NA,4,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,731,0,36,135,1,1,1,6.59441328048706,1,662
168,1,1,16,25,9,10,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,1,35,132,1,1,3,6.43775177001953,9,662
169,1,1,14,24,16,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,588,1,33,106,1,1,4,6.37672710418701,16,662
170,1,1,14,26,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,375,1,28,113,1,1,6,5.92692613601685,36,662
173,1,1,16,29,14,11,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,817,0,43,102,6,1,7,6.70563888549805,49,662
175,1,1,14,30,15,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,32,91,1,1,10,6.76272964477539,100,662
176,1,1,15,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,350,0,30,104,1,1,7,5.85793304443359,49,662
177,1,1,13,24,12,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,202,0,22,NA,1,1,5,5.30826759338379,25,662
178,1,1,13,32,16,16,367470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,505,0,43,97,1,1,13,6.22455835342407,169,662
179,1,1,17,30,12,13,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,816,0,41,125,1,1,7,6.70441436767578,49,662
181,1,1,18,26,14,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,41,123,6,1,2,6.43775177001953,4,662
182,1,1,18,32,16,16,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,769,0,35,128,6,1,8,6.64509105682373,64,662
183,1,1,17,27,16,17,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,1,38,133,6,1,4,6.21460819244385,16,662
188,1,1,17,27,12,8,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,1,32,114,1,1,4,6.42810535430908,16,662
192,1,1,12,30,NA,8,480445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,40,103,1,1,12,6.47697257995605,144,662
194,0,1,18,28,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36,130,1,1,4,6.64509105682373,16,662
195,0,1,12,26,10,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,512,0,33,97,1,1,8,6.2383246421814,64,662
196,0,1,18,31,12,13,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,46,132,1,1,7,6.43775177001953,49,662
197,0,1,14,31,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1111,0,41,98,1,1,11,7.01301574707031,121,662
198,0,1,13,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,721,0,41,108,1,1,9,6.5806393623352,81,662
199,0,1,14,32,13,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1154,0,44,107,1,1,12,7.05098962783813,144,662
201,0,1,18,34,18,18,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,827,0,40,129,6,1,10,6.71780490875244,100,662
204,0,1,16,34,14,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,923,0,56,NA,1,1,12,6.82762908935547,144,662
205,0,1,17,28,14,17,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1076,0,42,132,1,1,5,6.98100566864014,25,662
209,0,1,12,33,NA,8,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,37,101,1,1,15,6.43775177001953,225,662
210,0,1,13,27,NA,8,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,460,0,24,92,1,1,8,6.13122653961182,64,662
213,0,1,14,24,8,12,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,900,0,39,108,6,1,4,6.80239486694336,16,662
214,0,1,18,29,8,9,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,682,0,NA,132,1,1,5,6.52502965927124,25,662
217,0,1,12,24,10,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,411,0,20,NA,1,1,6,6.01859331130981,36,662
218,0,1,13,27,12,15,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,35,106,1,0,8,6.43775177001953,64,662
222,0,1,18,32,12,12,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1005,0,46,123,1,1,8,6.91274261474609,64,662
225,0,1,11,24,9,11,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,725,0,24,109,1,1,7,6.58617162704468,49,662
226,0,1,15,27,8,11,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,750,0,35,103,1,1,6,6.62007331848145,36,662
228,0,1,14,29,NA,8,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,529,0,33,108,1,0,9,6.27098846435547,81,662
229,0,1,17,29,8,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,972,0,47,122,1,1,6,6.87935590744019,36,662
232,0,1,12,26,12,12,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,472,0,36,109,1,1,8,6.15697908401489,64,662
233,0,1,12,24,12,12,369567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,35,102,6,1,6,5.78382539749146,36,662
234,0,1,12,34,NA,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,875,0,44,109,1,1,16,6.77422380447388,256,662
237,0,1,13,34,9,10,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,40,100,1,1,15,6.43775177001953,225,662
239,0,1,12,26,8,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,337,0,29,93,1,1,8,5.8200831413269,64,662
240,0,1,16,27,5,5,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,37,115,1,1,5,6.17586708068848,25,662
241,0,1,9,29,5,NA,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,NA,NA,6,0,14,6.47697257995605,196,662
242,0,1,16,25,5,4,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383,0,39,NA,6,0,3,5.94803476333618,9,662
244,0,1,18,30,15,14,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,50,125,1,1,6,6.86901426315308,36,662
245,0,1,16,29,13,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,615,0,31,106,6,1,7,6.42162227630615,49,662
247,0,1,14,28,12,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,702,0,43,113,1,1,8,6.55393362045288,64,662
249,0,1,14,31,NA,12,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,41,122,6,1,11,6.45362520217896,121,662
250,0,1,12,28,10,11,422407,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,200,0,35,NA,4,0,10,5.29831743240356,100,662
252,0,1,12,27,10,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,817,0,43,116,1,1,9,6.70563888549805,81,662
253,0,1,14,26,NA,12,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,39,116,1,1,6,6.35784244537354,36,662
254,0,1,17,26,12,12,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,466,0,34,105,1,1,3,6.1441855430603,9,662
255,0,1,16,29,NA,12,993271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,924,0,39,NA,1,1,7,6.82871198654175,49,662
256,0,1,16,31,12,12,993271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,793,1,38,112,1,0,9,6.67582321166992,81,662
257,0,1,14,28,12,12,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,32,113,1,1,8,6.45362520217896,64,662
259,0,1,12,25,NA,NA,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,22,NA,6,1,7,6.34563636779785,49,662
260,0,1,16,29,12,12,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,37,94,1,1,7,6.55819797515869,49,662
261,0,1,14,28,12,9,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,40,103,1,1,8,6.45362520217896,64,662
263,0,1,12,30,NA,12,496635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,694,0,36,102,1,0,12,6.54247188568115,144,662
264,0,1,13,34,10,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,615,0,47,109,1,1,15,6.42162227630615,225,662
265,0,1,16,26,15,10,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,462,0,34,130,6,1,4,6.13556480407715,16,662
266,0,1,12,34,12,12,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,45,105,1,1,16,6.76272964477539,256,662
267,0,1,18,33,12,12,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,737,0,46,134,1,1,9,6.60258769989014,81,662
268,0,1,12,25,8,14,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1400,0,39,NA,1,1,7,7.24422740936279,49,662
270,0,1,12,31,NA,7,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,43,105,1,0,13,6.69456195831299,169,662
272,0,1,16,26,11,12,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,654,0,36,104,1,0,4,6.4831075668335,16,662
273,0,1,12,25,NA,12,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,35,112,1,1,7,5.70378255844116,49,662
275,0,1,16,30,8,10,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,37,115,4,1,8,6.35784244537354,64,662
279,0,1,16,24,10,12,410630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,265,0,44,NA,6,1,2,5.57973003387451,4,662
280,0,1,18,31,8,8,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,594,0,33,117,1,1,7,6.38687944412231,49,662
282,0,1,17,26,12,8,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,29,114,1,1,3,5.78382539749146,9,662
283,0,1,16,24,12,8,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,385,1,37,118,6,1,2,5.95324325561523,4,662
284,0,1,18,25,12,12,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,32,107,1,1,1,6.90775537490845,1,662
285,0,1,18,28,8,11,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,465,0,49,120,6,1,4,6.1420373916626,16,662
286,0,1,16,28,16,18,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,440,0,43,131,6,1,6,6.0867748260498,36,662
287,0,1,16,27,16,17,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,625,0,40,124,6,1,5,6.43775177001953,25,662
288,0,1,17,27,11,12,92929,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,285,0,36,121,1,1,4,5.65248918533325,16,662
290,0,1,14,27,10,12,92929,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,35,110,1,1,7,6.47697257995605,49,662
291,0,1,13,25,10,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,34,103,1,1,6,6.69456195831299,36,662
292,0,1,12,24,10,12,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,26,NA,1,1,6,6.21460819244385,36,662
293,0,1,16,26,14,12,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,831,0,45,115,1,1,4,6.7226300239563,16,662
295,0,1,12,31,8,6,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33,96,1,1,13,6.21460819244385,169,662
297,0,1,17,32,12,12,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,48,123,1,0,9,6.54102993011475,81,662
298,0,1,12,27,12,10,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1100,0,37,101,1,1,9,7.00306558609009,81,662
300,0,1,12,25,8,12,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,763,0,34,98,1,1,7,6.63725805282593,49,662
302,1,1,12,27,8,9,422407,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,795,0,28,NA,1,1,9,6.67834234237671,81,661
304,1,1,16,25,7,8,369567,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,333,0,31,108,6,1,3,5.80814266204834,9,661
306,1,1,18,30,16,12,551817,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,409,0,39,138,1,1,6,6.0137152671814,36,661
307,1,1,16,27,NA,12,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,865,0,37,121,1,1,5,6.76272964477539,25,661
308,1,1,12,31,8,12,496635,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,888,0,34,96,1,1,13,6.78897190093994,169,661
309,1,1,12,34,NA,12,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,673,0,47,89,1,1,16,6.51174545288086,256,661
312,1,1,12,33,7,NA,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,700,0,43,109,6,1,15,6.55108022689819,225,661
313,1,1,18,33,16,16,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,250,0,44,133,6,1,9,5.52146100997925,81,661
