farm,irrigation,genotype,count
farm_2,overhead,G2,18
farm_2,overhead,G2,9
farm_2,overhead,G3,12
farm_2,overhead,G2,14
farm_2,overhead,G3,9
farm_2,overhead,G1,10
farm_2,overhead,G1,0
farm_2,overhead,G4,9
farm_2,overhead,G1,5
farm_2,overhead,G1,0
farm_2,overhead,G1,19
farm_2,overhead,G4,0
farm_2,overhead,G3,3
farm_2,overhead,G1,1
farm_2,overhead,G4,6
farm_2,overhead,G1,25
farm_2,overhead,G3,2
farm_2,overhead,G3,19
farm_2,overhead,G4,6
farm_2,overhead,G2,7
farm_2,overhead,G1,9
farm_2,overhead,G1,26
farm_2,overhead,G1,14
farm_2,overhead,G2,14
farm_2,overhead,G1,9
farm_2,overhead,G2,1
farm_2,overhead,G1,1
farm_2,overhead,G4,1
farm_2,overhead,G1,4
farm_2,overhead,G3,0
farm_2,overhead,G3,14
farm_2,overhead,G2,0
farm_2,overhead,G2,9
farm_2,overhead,G1,5
farm_2,overhead,G3,0
farm_2,overhead,G4,1
farm_2,overhead,G1,8
farm_2,overhead,G1,13
farm_2,overhead,G2,10
farm_2,overhead,G1,2
farm_2,overhead,G2,8
farm_2,overhead,G2,18
farm_2,overhead,G2,13
farm_2,overhead,G2,2
farm_2,overhead,G4,2
farm_2,overhead,G4,4
farm_2,overhead,G4,21
farm_2,overhead,G4,20
farm_2,overhead,G3,5
farm_2,overhead,G4,4
farm_2,overhead,G3,6
farm_2,overhead,G3,19
farm_2,overhead,G3,1
farm_2,overhead,G1,8
farm_2,overhead,G3,0
farm_2,overhead,G3,4
farm_2,overhead,G3,5
farm_2,overhead,G4,6
farm_2,overhead,G2,10
farm_2,overhead,G3,0
farm_2,overhead,G3,2
farm_2,overhead,G3,14
farm_2,overhead,G1,12
farm_2,overhead,G1,6
farm_2,overhead,G3,8
farm_3,rainfed,G3,12
farm_3,rainfed,G3,10
farm_3,rainfed,G3,15
farm_3,rainfed,G3,12
farm_3,rainfed,G2,19
farm_3,rainfed,G1,7
farm_3,rainfed,G4,0
farm_3,rainfed,G1,46
farm_3,rainfed,G4,4
farm_3,rainfed,G3,2
farm_3,rainfed,G4,51
farm_3,rainfed,G4,20
farm_3,rainfed,G4,26
farm_3,rainfed,G1,0
farm_3,rainfed,G2,48
farm_3,rainfed,G2,8
farm_3,rainfed,G4,0
farm_3,rainfed,G4,13
farm_3,rainfed,G3,1
farm_3,rainfed,G2,3
farm_3,rainfed,G1,9
farm_3,rainfed,G4,0
farm_3,rainfed,G3,10
farm_3,rainfed,G1,7
farm_3,rainfed,G1,6
farm_3,rainfed,G3,4
farm_3,rainfed,G4,2
farm_3,rainfed,G4,2
farm_3,rainfed,G2,2
farm_3,rainfed,G1,4
farm_3,rainfed,G1,5
farm_3,rainfed,G2,6
farm_3,rainfed,G2,35
farm_3,rainfed,G2,0
farm_3,rainfed,G2,20
farm_3,rainfed,G1,13
farm_3,rainfed,G3,11
farm_3,rainfed,G3,17
farm_3,rainfed,G2,1
farm_3,rainfed,G4,13
farm_3,rainfed,G4,8
farm_3,rainfed,G3,11
farm_3,rainfed,G3,8
farm_3,rainfed,G4,9
farm_3,rainfed,G4,6
farm_3,rainfed,G3,5
farm_3,rainfed,G2,14
farm_3,rainfed,G3,5
farm_3,rainfed,G4,0
farm_3,rainfed,G4,24
farm_3,rainfed,G4,7
farm_3,rainfed,G3,2
farm_3,rainfed,G2,28
farm_3,rainfed,G4,1
farm_3,rainfed,G2,35
farm_3,rainfed,G4,5
farm_3,rainfed,G3,0
farm_3,rainfed,G2,13
farm_3,rainfed,G4,0
farm_3,rainfed,G3,5
farm_3,rainfed,G4,10
farm_3,rainfed,G2,5
farm_3,rainfed,G4,7
farm_3,rainfed,G4,19
farm_3,rainfed,G2,0
farm_3,rainfed,G1,10
farm_3,rainfed,G2,29
farm_3,rainfed,G3,12
farm_3,rainfed,G4,4
farm_3,rainfed,G1,17
farm_3,rainfed,G1,2
farm_3,rainfed,G4,0
farm_3,rainfed,G3,3
farm_3,rainfed,G4,48
farm_3,rainfed,G2,0
farm_3,rainfed,G1,1
farm_3,rainfed,G1,8
farm_3,rainfed,G4,12
farm_3,rainfed,G3,12
farm_3,rainfed,G3,12
farm_3,rainfed,G4,42
farm_3,rainfed,G3,18
farm_3,rainfed,G1,0
farm_3,rainfed,G2,0
farm_3,rainfed,G2,0
farm_3,rainfed,G3,7
farm_3,rainfed,G3,14
farm_3,rainfed,G4,25
farm_3,rainfed,G3,12
farm_3,rainfed,G4,12
farm_3,rainfed,G3,8
farm_3,rainfed,G2,15
farm_3,rainfed,G1,4
farm_4,drip,G4,0
farm_4,drip,G3,0
farm_4,drip,G1,0
farm_4,drip,G2,2
farm_4,drip,G2,0
farm_4,drip,G2,11
farm_4,drip,G4,0
farm_4,drip,G4,0
farm_4,drip,G2,0
farm_4,drip,G4,0
farm_4,drip,G2,0
farm_4,drip,G1,5
farm_4,drip,G1,0
farm_4,drip,G3,0
farm_4,drip,G4,0
farm_4,drip,G1,7
farm_4,drip,G3,0
farm_4,drip,G3,1
farm_4,drip,G2,5
farm_4,drip,G4,5
farm_4,drip,G3,4
farm_4,drip,G2,2
farm_4,drip,G1,2
farm_4,drip,G4,0
farm_4,drip,G1,4
farm_4,drip,G4,13
farm_4,drip,G4,1
farm_4,drip,G2,0
farm_4,drip,G1,7
farm_4,drip,G3,0
farm_4,drip,G2,15
farm_4,drip,G4,0
farm_4,drip,G4,2
farm_4,drip,G4,6
farm_4,drip,G2,9
farm_4,drip,G3,2
farm_4,drip,G1,0
farm_4,drip,G4,4
farm_4,drip,G1,1
farm_4,drip,G2,0
farm_4,drip,G3,0
farm_4,drip,G1,4
farm_4,drip,G1,2
farm_4,drip,G3,0
farm_4,drip,G3,1
farm_4,drip,G2,0
farm_4,drip,G4,6
farm_4,drip,G1,1
farm_4,drip,G4,7
farm_4,drip,G3,0
farm_4,drip,G3,0
farm_4,drip,G3,3
farm_4,drip,G4,0
farm_4,drip,G1,0
farm_4,drip,G3,6
farm_4,drip,G3,11
farm_4,drip,G1,0
farm_4,drip,G2,14
farm_4,drip,G1,2
farm_4,drip,G2,7
farm_4,drip,G4,1
farm_4,drip,G2,0
farm_4,drip,G1,0
farm_4,drip,G3,0
farm_4,drip,G1,0
farm_4,drip,G2,10
farm_4,drip,G2,12
farm_4,drip,G1,4
farm_4,drip,G2,0
farm_4,drip,G1,0
farm_4,drip,G4,5
farm_4,drip,G1,5
farm_4,drip,G4,0
farm_4,drip,G2,0
farm_4,drip,G2,8
farm_4,drip,G4,9
farm_4,drip,G2,13
farm_4,drip,G4,0
farm_4,drip,G2,3
farm_4,drip,G4,8
farm_4,drip,G3,2
farm_4,drip,G1,0
farm_5,rainfed,G3,2
farm_5,rainfed,G1,0
farm_5,rainfed,G3,4
farm_5,rainfed,G1,1
farm_5,rainfed,G1,4
farm_5,rainfed,G3,2
farm_5,rainfed,G1,0
farm_5,rainfed,G1,0
farm_5,rainfed,G3,0
farm_5,rainfed,G4,0
farm_5,rainfed,G1,5
farm_5,rainfed,G1,2
farm_5,rainfed,G1,1
farm_5,rainfed,G4,6
farm_5,rainfed,G4,2
farm_5,rainfed,G4,2
farm_5,rainfed,G2,3
farm_5,rainfed,G2,8
farm_5,rainfed,G2,0
farm_5,rainfed,G4,0
farm_5,rainfed,G2,1
farm_5,rainfed,G3,0
farm_5,rainfed,G3,3
farm_5,rainfed,G2,1
farm_5,rainfed,G4,0
farm_5,rainfed,G1,3
farm_5,rainfed,G4,2
farm_5,rainfed,G3,0
farm_5,rainfed,G1,2
farm_5,rainfed,G3,0
farm_5,rainfed,G3,4
farm_5,rainfed,G3,4
farm_5,rainfed,G1,0
farm_5,rainfed,G4,0
farm_5,rainfed,G2,3
farm_5,rainfed,G3,1
farm_5,rainfed,G3,7
farm_5,rainfed,G4,5
farm_5,rainfed,G4,0
farm_5,rainfed,G1,5
farm_5,rainfed,G1,0
farm_5,rainfed,G1,1
farm_5,rainfed,G4,4
farm_5,rainfed,G3,1
farm_5,rainfed,G3,2
farm_5,rainfed,G4,0
farm_5,rainfed,G4,1
farm_5,rainfed,G4,7
farm_5,rainfed,G1,3
farm_5,rainfed,G1,2
farm_5,rainfed,G4,0
farm_5,rainfed,G2,0
farm_5,rainfed,G4,1
farm_5,rainfed,G3,2
farm_5,rainfed,G3,1
farm_5,rainfed,G2,1
farm_5,rainfed,G4,2
farm_5,rainfed,G1,1
farm_5,rainfed,G3,2
farm_5,rainfed,G1,3
farm_5,rainfed,G4,0
farm_5,rainfed,G4,2
farm_5,rainfed,G1,7
farm_5,rainfed,G3,0
farm_5,rainfed,G2,4
farm_5,rainfed,G3,2
farm_5,rainfed,G3,5
farm_5,rainfed,G4,1
farm_5,rainfed,G3,0
farm_5,rainfed,G2,8
farm_5,rainfed,G1,1
farm_5,rainfed,G3,1
farm_5,rainfed,G4,0
farm_5,rainfed,G4,0
farm_5,rainfed,G3,0
farm_5,rainfed,G2,2
farm_5,rainfed,G2,1
farm_5,rainfed,G4,3
farm_5,rainfed,G4,0
farm_5,rainfed,G4,0
farm_5,rainfed,G2,1
farm_5,rainfed,G4,0
farm_5,rainfed,G3,3
farm_5,rainfed,G3,0
farm_5,rainfed,G2,0
farm_5,rainfed,G1,0
farm_5,rainfed,G4,3
farm_5,rainfed,G4,3
farm_5,rainfed,G1,1
farm_6,rainfed,G4,1
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G2,3
farm_6,rainfed,G1,0
farm_6,rainfed,G3,1
farm_6,rainfed,G1,4
farm_6,rainfed,G3,0
farm_6,rainfed,G3,1
farm_6,rainfed,G3,3
farm_6,rainfed,G3,0
farm_6,rainfed,G2,0
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G4,0
farm_6,rainfed,G4,2
farm_6,rainfed,G1,0
farm_6,rainfed,G1,0
farm_6,rainfed,G4,1
farm_6,rainfed,G4,1
farm_6,rainfed,G4,2
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G1,1
farm_6,rainfed,G2,0
farm_6,rainfed,G2,5
farm_6,rainfed,G4,2
farm_6,rainfed,G2,0
farm_6,rainfed,G4,4
farm_6,rainfed,G1,2
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,3
farm_6,rainfed,G2,0
farm_6,rainfed,G2,0
farm_6,rainfed,G1,0
farm_6,rainfed,G3,0
farm_6,rainfed,G1,0
farm_6,rainfed,G2,0
farm_6,rainfed,G3,1
farm_6,rainfed,G4,2
farm_6,rainfed,G1,5
farm_6,rainfed,G1,4
farm_6,rainfed,G2,3
farm_6,rainfed,G4,1
farm_6,rainfed,G3,0
farm_6,rainfed,G1,0
farm_6,rainfed,G2,6
farm_6,rainfed,G4,3
farm_6,rainfed,G1,0
farm_6,rainfed,G1,0
farm_6,rainfed,G3,1
farm_6,rainfed,G4,2
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,8
farm_6,rainfed,G2,4
farm_6,rainfed,G3,0
farm_6,rainfed,G2,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G3,0
farm_6,rainfed,G2,0
farm_6,rainfed,G2,2
farm_6,rainfed,G3,0
farm_6,rainfed,G4,1
farm_6,rainfed,G2,1
farm_6,rainfed,G1,3
farm_6,rainfed,G3,1
farm_6,rainfed,G1,1
farm_6,rainfed,G3,3
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G1,0
farm_6,rainfed,G1,3
farm_6,rainfed,G3,1
farm_6,rainfed,G1,3
farm_6,rainfed,G2,0
farm_6,rainfed,G3,0
farm_6,rainfed,G4,0
farm_6,rainfed,G4,1
farm_6,rainfed,G4,0
farm_6,rainfed,G3,0
farm_6,rainfed,G4,0
farm_6,rainfed,G2,1
farm_6,rainfed,G2,0
farm_6,rainfed,G2,2
farm_6,rainfed,G3,1
farm_6,rainfed,G4,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,2
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G1,3
farm_6,rainfed,G3,2
farm_6,rainfed,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G4,0
farm_7,overhead,G3,0
farm_7,overhead,G4,1
farm_7,overhead,G4,5
farm_7,overhead,G3,0
farm_7,overhead,G1,3
farm_7,overhead,G2,4
farm_7,overhead,G4,2
farm_7,overhead,G2,0
farm_7,overhead,G2,1
farm_7,overhead,G2,2
farm_7,overhead,G4,4
farm_7,overhead,G1,5
farm_7,overhead,G1,0
farm_7,overhead,G2,3
farm_7,overhead,G2,1
farm_7,overhead,G4,3
farm_7,overhead,G1,3
farm_7,overhead,G4,1
farm_7,overhead,G3,1
farm_7,overhead,G1,0
farm_7,overhead,G3,0
farm_7,overhead,G3,1
farm_7,overhead,G2,1
farm_7,overhead,G3,1
farm_7,overhead,G3,1
farm_7,overhead,G4,3
farm_7,overhead,G3,3
farm_7,overhead,G1,2
farm_7,overhead,G3,4
farm_7,overhead,G1,2
farm_7,overhead,G3,0
farm_7,overhead,G1,7
farm_7,overhead,G1,2
farm_7,overhead,G2,0
farm_7,overhead,G2,2
farm_7,overhead,G1,5
farm_7,overhead,G1,2
farm_7,overhead,G1,0
farm_7,overhead,G3,6
farm_7,overhead,G1,0
farm_7,overhead,G1,3
farm_7,overhead,G2,0
farm_7,overhead,G1,0
farm_7,overhead,G1,5
farm_7,overhead,G3,1
farm_7,overhead,G2,8
farm_7,overhead,G4,0
farm_7,overhead,G4,0
farm_7,overhead,G3,9
farm_7,overhead,G2,10
farm_7,overhead,G4,0
farm_7,overhead,G3,2
farm_7,overhead,G1,0
farm_7,overhead,G4,0
farm_7,overhead,G2,5
farm_7,overhead,G4,1
farm_7,overhead,G2,1
farm_7,overhead,G2,1
farm_7,overhead,G2,2
farm_7,overhead,G2,0
farm_7,overhead,G4,2
farm_7,overhead,G1,3
farm_7,overhead,G3,1
farm_7,overhead,G2,5
farm_7,overhead,G3,8
farm_7,overhead,G2,4
farm_7,overhead,G1,2
farm_7,overhead,G3,0
farm_7,overhead,G2,2
farm_7,overhead,G4,2
farm_7,overhead,G3,2
farm_7,overhead,G2,0
farm_7,overhead,G3,1
farm_7,overhead,G3,0
farm_7,overhead,G2,2
farm_7,overhead,G4,2
farm_7,overhead,G2,1
farm_7,overhead,G4,8
farm_7,overhead,G4,0
farm_7,overhead,G2,3
farm_7,overhead,G3,3
farm_7,overhead,G1,2
farm_7,overhead,G4,0
farm_7,overhead,G1,2
farm_7,overhead,G1,0
farm_7,overhead,G4,3
farm_7,overhead,G3,0
farm_7,overhead,G1,2
farm_8,drip,G1,0
farm_8,drip,G1,7
farm_8,drip,G4,0
farm_8,drip,G1,0
farm_8,drip,G4,4
farm_8,drip,G1,4
farm_8,drip,G1,0
farm_8,drip,G2,0
farm_8,drip,G2,0
farm_8,drip,G2,0
farm_8,drip,G4,0
farm_8,drip,G3,0
farm_8,drip,G2,0
farm_8,drip,G4,0
farm_8,drip,G2,0
farm_8,drip,G2,0
farm_8,drip,G1,0
farm_8,drip,G2,4
farm_8,drip,G4,2
farm_8,drip,G3,0
farm_8,drip,G4,0
farm_8,drip,G1,1
farm_8,drip,G3,2
farm_8,drip,G3,4
farm_8,drip,G3,0
farm_8,drip,G1,0
farm_8,drip,G4,0
farm_8,drip,G3,0
farm_8,drip,G2,3
farm_8,drip,G4,0
farm_8,drip,G1,0
farm_8,drip,G3,0
farm_8,drip,G2,5
farm_8,drip,G2,0
farm_8,drip,G3,4
farm_8,drip,G3,4
farm_8,drip,G3,0
farm_8,drip,G1,0
farm_8,drip,G1,0
farm_8,drip,G4,0
farm_8,drip,G3,1
farm_8,drip,G3,3
farm_8,drip,G1,0
farm_8,drip,G3,0
farm_8,drip,G4,1
farm_8,drip,G4,2
farm_8,drip,G2,0
farm_8,drip,G3,4
farm_8,drip,G4,0
farm_8,drip,G3,4
farm_8,drip,G1,0
farm_8,drip,G1,2
farm_8,drip,G1,5
farm_8,drip,G1,1
farm_8,drip,G2,4
farm_8,drip,G2,0
farm_8,drip,G3,0
farm_8,drip,G3,0
farm_8,drip,G2,0
farm_8,drip,G1,1
farm_8,drip,G4,0
farm_8,drip,G4,4
farm_8,drip,G4,0
farm_8,drip,G1,0
farm_8,drip,G3,0
farm_8,drip,G2,0
farm_8,drip,G1,1
farm_8,drip,G4,5
farm_8,drip,G1,2
farm_8,drip,G2,2
farm_8,drip,G3,0
farm_8,drip,G1,4
farm_8,drip,G4,1
farm_8,drip,G2,0
farm_8,drip,G4,3
farm_8,drip,G4,8
farm_8,drip,G4,0
farm_8,drip,G1,1
farm_8,drip,G2,0
farm_8,drip,G3,0
farm_8,drip,G2,3
farm_8,drip,G1,0
farm_8,drip,G4,0
farm_8,drip,G3,2
farm_9,drip,G2,2
farm_9,drip,G4,1
farm_9,drip,G2,0
farm_9,drip,G2,0
farm_9,drip,G3,0
farm_9,drip,G2,0
farm_9,drip,G3,0
farm_9,drip,G3,3
farm_9,drip,G4,2
farm_9,drip,G3,3
farm_9,drip,G1,4
farm_9,drip,G1,4
farm_9,drip,G2,0
farm_9,drip,G2,13
farm_9,drip,G1,0
farm_9,drip,G1,0
farm_9,drip,G3,5
farm_9,drip,G3,1
farm_9,drip,G1,2
farm_9,drip,G2,5
farm_9,drip,G1,3
farm_9,drip,G1,0
farm_9,drip,G2,0
farm_9,drip,G4,8
farm_9,drip,G2,6
farm_9,drip,G4,6
farm_9,drip,G2,6
farm_9,drip,G1,2
farm_9,drip,G2,0
farm_9,drip,G2,3
farm_9,drip,G1,0
farm_9,drip,G4,0
farm_9,drip,G3,2
farm_9,drip,G2,0
farm_9,drip,G1,0
farm_9,drip,G2,0
farm_9,drip,G3,0
farm_9,drip,G4,0
farm_9,drip,G1,0
farm_9,drip,G2,0
farm_9,drip,G4,0
farm_9,drip,G3,0
farm_9,drip,G2,0
farm_9,drip,G2,1
farm_9,drip,G3,0
farm_9,drip,G1,2
farm_9,drip,G2,2
farm_9,drip,G1,4
farm_9,drip,G3,0
farm_9,drip,G4,0
farm_9,drip,G4,0
farm_9,drip,G1,4
farm_9,drip,G4,6
farm_9,drip,G4,0
farm_9,drip,G4,2
farm_9,drip,G3,1
farm_9,drip,G1,1
farm_9,drip,G1,0
farm_9,drip,G4,2
farm_9,drip,G2,3
farm_9,drip,G3,3
farm_9,drip,G4,0
farm_9,drip,G4,4
farm_9,drip,G4,5
farm_9,drip,G3,3
farm_9,drip,G3,0
farm_9,drip,G3,0
farm_9,drip,G3,3
farm_9,drip,G4,0
farm_9,drip,G2,5
farm_9,drip,G3,0
farm_9,drip,G3,3
farm_9,drip,G2,8
farm_9,drip,G3,0
farm_9,drip,G4,5
farm_9,drip,G2,4
farm_9,drip,G3,4
farm_9,drip,G4,1
farm_9,drip,G3,0
farm_9,drip,G2,0
farm_9,drip,G4,0
farm_9,drip,G2,0
farm_9,drip,G3,3
farm_9,drip,G4,1
farm_9,drip,G1,0
farm_9,drip,G4,4
farm_9,drip,G1,4
farm_9,drip,G1,2
farm_9,drip,G4,2
farm_9,drip,G3,2
farm_9,drip,G3,1
farm_9,drip,G3,0
farm_9,drip,G4,1
farm_9,drip,G1,0
farm_9,drip,G1,0
farm_9,drip,G3,0
farm_9,drip,G4,0
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_10,rainfed,G1,6
farm_10,rainfed,G4,10
farm_10,rainfed,G4,0
farm_10,rainfed,G2,13
farm_10,rainfed,G2,2
farm_10,rainfed,G3,5
farm_10,rainfed,G1,4
farm_10,rainfed,G1,3
farm_10,rainfed,G1,9
farm_10,rainfed,G4,2
farm_10,rainfed,G1,0
farm_10,rainfed,G1,5
farm_10,rainfed,G3,5
farm_10,rainfed,G4,6
farm_10,rainfed,G2,14
farm_10,rainfed,G3,2
farm_10,rainfed,G2,15
farm_10,rainfed,G1,3
farm_10,rainfed,G1,8
farm_10,rainfed,G4,7
farm_10,rainfed,G2,0
farm_10,rainfed,G1,4
farm_10,rainfed,G1,4
farm_10,rainfed,G3,1
farm_10,rainfed,G2,10
farm_10,rainfed,G4,4
farm_10,rainfed,G1,27
farm_10,rainfed,G2,0
farm_10,rainfed,G4,5
farm_10,rainfed,G2,3
farm_10,rainfed,G2,18
farm_10,rainfed,G1,2
farm_10,rainfed,G2,6
farm_10,rainfed,G1,10
farm_10,rainfed,G4,4
farm_10,rainfed,G3,5
farm_10,rainfed,G4,2
farm_10,rainfed,G3,0
farm_10,rainfed,G1,1
farm_10,rainfed,G2,4
farm_10,rainfed,G3,1
farm_10,rainfed,G2,4
farm_10,rainfed,G3,0
farm_10,rainfed,G4,6
farm_10,rainfed,G1,10
farm_10,rainfed,G4,0
farm_10,rainfed,G4,9
farm_10,rainfed,G3,0
farm_10,rainfed,G4,0
farm_10,rainfed,G2,6
farm_10,rainfed,G3,2
farm_10,rainfed,G3,2
farm_10,rainfed,G3,1
farm_10,rainfed,G1,3
farm_10,rainfed,G1,0
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G1,12
farm_10,rainfed,G1,1
farm_10,rainfed,G2,7
farm_10,rainfed,G1,3
farm_10,rainfed,G1,2
farm_10,rainfed,G4,12
farm_10,rainfed,G2,3
farm_10,rainfed,G4,1
farm_10,rainfed,G1,2
farm_10,rainfed,G3,2
farm_10,rainfed,G1,10
farm_10,rainfed,G2,0
farm_10,rainfed,G3,3
farm_10,rainfed,G2,5
farm_10,rainfed,G1,5
farm_10,rainfed,G3,3
farm_10,rainfed,G4,5
farm_10,rainfed,G2,15
farm_10,rainfed,G2,7
farm_10,rainfed,G1,2
farm_10,rainfed,G2,3
farm_10,rainfed,G4,19
farm_10,rainfed,G4,7
farm_10,rainfed,G4,0
farm_10,rainfed,G3,5
farm_10,rainfed,G4,6
farm_10,rainfed,G4,8
farm_10,rainfed,G1,4
farm_10,rainfed,G4,3
farm_10,rainfed,G2,5
farm_10,rainfed,G2,0
farm_10,rainfed,G4,6
farm_10,rainfed,G3,3
farm_10,rainfed,G1,8
farm_10,rainfed,G3,0
farm_11,drip,G3,0
farm_11,drip,G2,1
farm_11,drip,G3,2
farm_11,drip,G1,1
farm_11,drip,G1,4
farm_11,drip,G3,1
farm_11,drip,G4,9
farm_11,drip,G1,0
farm_11,drip,G4,4
farm_11,drip,G2,6
farm_11,drip,G2,9
farm_11,drip,G4,0
farm_11,drip,G3,0
farm_11,drip,G3,1
farm_11,drip,G1,4
farm_11,drip,G4,0
farm_11,drip,G3,5
farm_11,drip,G3,2
farm_11,drip,G4,1
farm_11,drip,G3,6
farm_11,drip,G1,1
farm_11,drip,G2,1
farm_11,drip,G3,2
farm_11,drip,G4,2
farm_11,drip,G1,4
farm_11,drip,G4,2
farm_11,drip,G1,0
farm_11,drip,G2,3
farm_11,drip,G2,0
farm_11,drip,G1,2
farm_11,drip,G2,1
farm_11,drip,G1,0
farm_11,drip,G3,0
farm_11,drip,G3,3
farm_11,drip,G2,3
farm_11,drip,G4,0
farm_11,drip,G1,0
farm_11,drip,G4,0
farm_11,drip,G2,4
farm_11,drip,G1,3
farm_11,drip,G4,11
farm_11,drip,G1,4
farm_11,drip,G1,0
farm_11,drip,G3,0
farm_11,drip,G1,6
farm_11,drip,G2,16
farm_11,drip,G2,4
farm_11,drip,G1,1
farm_11,drip,G3,2
farm_11,drip,G1,0
farm_11,drip,G2,2
farm_11,drip,G3,5
farm_11,drip,G1,4
farm_11,drip,G1,0
farm_11,drip,G2,2
farm_11,drip,G2,0
farm_11,drip,G3,0
farm_11,drip,G2,0
farm_11,drip,G3,1
farm_11,drip,G2,11
farm_11,drip,G4,0
farm_11,drip,G4,0
farm_11,drip,G4,0
farm_11,drip,G1,0
farm_11,drip,G1,2
farm_11,drip,G1,0
farm_11,drip,G2,6
farm_11,drip,G1,2
farm_11,drip,G4,5
farm_11,drip,G3,7
farm_11,drip,G2,6
farm_11,drip,G4,2
farm_11,drip,G3,4
farm_11,drip,G4,0
farm_11,drip,G3,0
farm_11,drip,G2,0
farm_11,drip,G3,1
farm_11,drip,G4,2
farm_11,drip,G3,2
farm_11,drip,G3,0
farm_11,drip,G3,1
farm_11,drip,G2,1
farm_11,drip,G2,0
farm_11,drip,G3,0
