farm,irrigation,genotype,survival
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G2,1
farm_2,overhead,G4,1
farm_2,overhead,G4,0
farm_2,overhead,G4,1
farm_2,overhead,G4,1
farm_2,overhead,G3,0
farm_2,overhead,G4,1
farm_2,overhead,G3,0
farm_2,overhead,G3,0
farm_2,overhead,G3,1
farm_2,overhead,G1,1
farm_2,overhead,G3,0
farm_2,overhead,G3,1
farm_2,overhead,G3,0
farm_2,overhead,G4,1
farm_2,overhead,G2,1
farm_2,overhead,G3,0
farm_2,overhead,G3,0
farm_2,overhead,G3,1
farm_2,overhead,G1,1
farm_2,overhead,G1,1
farm_2,overhead,G3,1
farm_3,rainfed,G3,0
farm_3,rainfed,G3,1
farm_3,rainfed,G3,0
farm_3,rainfed,G3,0
farm_3,rainfed,G2,1
farm_3,rainfed,G1,1
farm_3,rainfed,G4,1
farm_3,rainfed,G1,1
farm_3,rainfed,G4,0
farm_3,rainfed,G3,0
farm_3,rainfed,G4,0
farm_3,rainfed,G4,1
farm_3,rainfed,G4,1
farm_3,rainfed,G1,0
farm_3,rainfed,G2,1
farm_3,rainfed,G2,1
farm_3,rainfed,G4,0
farm_3,rainfed,G4,1
farm_3,rainfed,G3,1
farm_3,rainfed,G2,0
farm_3,rainfed,G1,0
farm_3,rainfed,G4,0
farm_3,rainfed,G3,0
farm_3,rainfed,G1,0
farm_3,rainfed,G1,0
farm_3,rainfed,G3,1
farm_3,rainfed,G4,1
farm_3,rainfed,G4,1
farm_3,rainfed,G2,1
farm_3,rainfed,G1,1
farm_3,rainfed,G1,0
farm_3,rainfed,G2,1
farm_3,rainfed,G2,1
farm_3,rainfed,G2,0
farm_3,rainfed,G2,0
farm_3,rainfed,G1,1
farm_3,rainfed,G3,1
farm_3,rainfed,G3,0
farm_3,rainfed,G2,1
farm_3,rainfed,G4,0
farm_3,rainfed,G4,0
farm_3,rainfed,G3,1
farm_3,rainfed,G3,0
farm_3,rainfed,G4,1
farm_3,rainfed,G4,0
farm_3,rainfed,G3,1
farm_3,rainfed,G2,1
farm_3,rainfed,G3,0
farm_3,rainfed,G4,1
farm_3,rainfed,G4,0
farm_3,rainfed,G4,1
farm_3,rainfed,G3,0
farm_3,rainfed,G2,1
farm_3,rainfed,G4,0
farm_3,rainfed,G2,0
farm_3,rainfed,G4,1
farm_3,rainfed,G3,0
farm_3,rainfed,G2,0
farm_3,rainfed,G4,0
farm_3,rainfed,G3,1
farm_3,rainfed,G4,1
farm_3,rainfed,G2,1
farm_3,rainfed,G4,1
farm_3,rainfed,G4,0
farm_3,rainfed,G2,0
farm_3,rainfed,G1,1
farm_3,rainfed,G2,1
farm_3,rainfed,G3,0
farm_3,rainfed,G4,1
farm_3,rainfed,G1,0
farm_3,rainfed,G1,1
farm_3,rainfed,G4,1
farm_3,rainfed,G3,0
farm_3,rainfed,G4,1
farm_3,rainfed,G2,1
farm_3,rainfed,G1,1
farm_3,rainfed,G1,1
farm_3,rainfed,G4,1
farm_3,rainfed,G3,1
farm_3,rainfed,G3,1
farm_3,rainfed,G4,1
farm_3,rainfed,G3,0
farm_3,rainfed,G1,1
farm_3,rainfed,G2,0
farm_3,rainfed,G2,1
farm_3,rainfed,G3,1
farm_3,rainfed,G3,1
farm_3,rainfed,G4,0
farm_3,rainfed,G3,0
farm_3,rainfed,G4,1
farm_3,rainfed,G3,0
farm_3,rainfed,G2,1
farm_3,rainfed,G1,1
farm_4,drip,G4,1
farm_4,drip,G3,0
farm_4,drip,G1,1
farm_4,drip,G2,1
farm_4,drip,G2,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G4,0
farm_4,drip,G2,1
farm_4,drip,G4,0
farm_4,drip,G2,1
farm_4,drip,G1,1
farm_4,drip,G1,0
farm_4,drip,G3,1
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G3,1
farm_4,drip,G3,0
farm_4,drip,G2,0
farm_4,drip,G4,1
farm_4,drip,G3,1
farm_4,drip,G2,1
farm_4,drip,G1,0
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G4,1
farm_4,drip,G4,1
farm_4,drip,G2,1
farm_4,drip,G1,1
farm_4,drip,G3,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G4,1
farm_4,drip,G4,0
farm_4,drip,G2,1
farm_4,drip,G3,1
farm_4,drip,G1,0
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G2,1
farm_4,drip,G3,1
farm_4,drip,G1,0
farm_4,drip,G1,0
farm_4,drip,G3,1
farm_4,drip,G3,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G4,1
farm_4,drip,G3,1
farm_4,drip,G3,0
farm_4,drip,G3,0
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G3,1
farm_4,drip,G3,1
farm_4,drip,G1,1
farm_4,drip,G2,1
farm_4,drip,G1,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G2,1
farm_4,drip,G1,1
farm_4,drip,G3,1
farm_4,drip,G1,1
farm_4,drip,G2,1
farm_4,drip,G2,1
farm_4,drip,G1,1
farm_4,drip,G2,0
farm_4,drip,G1,1
farm_4,drip,G4,1
farm_4,drip,G1,1
farm_4,drip,G4,1
farm_4,drip,G2,1
farm_4,drip,G2,0
farm_4,drip,G4,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G2,1
farm_4,drip,G4,1
farm_4,drip,G3,0
farm_4,drip,G1,1
farm_5,rainfed,G3,0
farm_5,rainfed,G1,1
farm_5,rainfed,G3,0
farm_5,rainfed,G1,1
farm_5,rainfed,G1,1
farm_5,rainfed,G3,0
farm_5,rainfed,G1,1
farm_5,rainfed,G1,0
farm_5,rainfed,G3,0
farm_5,rainfed,G4,0
farm_5,rainfed,G1,1
farm_5,rainfed,G1,1
farm_5,rainfed,G1,0
farm_5,rainfed,G4,0
farm_5,rainfed,G4,1
farm_5,rainfed,G4,1
farm_5,rainfed,G2,1
farm_5,rainfed,G2,1
farm_5,rainfed,G2,1
farm_5,rainfed,G4,0
farm_5,rainfed,G2,1
farm_5,rainfed,G3,1
farm_5,rainfed,G3,0
farm_5,rainfed,G2,1
farm_5,rainfed,G4,1
farm_5,rainfed,G1,0
farm_5,rainfed,G4,1
farm_5,rainfed,G3,1
farm_5,rainfed,G1,1
farm_5,rainfed,G3,1
farm_5,rainfed,G3,0
farm_5,rainfed,G3,0
farm_5,rainfed,G1,0
farm_5,rainfed,G4,0
farm_5,rainfed,G2,1
farm_5,rainfed,G3,0
farm_5,rainfed,G3,0
farm_5,rainfed,G4,1
farm_5,rainfed,G4,0
farm_5,rainfed,G1,0
farm_5,rainfed,G1,0
farm_5,rainfed,G1,0
farm_5,rainfed,G4,0
farm_5,rainfed,G3,0
farm_5,rainfed,G3,0
farm_5,rainfed,G4,1
farm_5,rainfed,G4,1
farm_5,rainfed,G4,1
farm_5,rainfed,G1,1
farm_5,rainfed,G1,0
farm_5,rainfed,G4,1
farm_5,rainfed,G2,1
farm_5,rainfed,G4,0
farm_5,rainfed,G3,1
farm_5,rainfed,G3,0
farm_5,rainfed,G2,0
farm_5,rainfed,G4,1
farm_5,rainfed,G1,1
farm_5,rainfed,G3,0
farm_5,rainfed,G1,1
farm_5,rainfed,G4,0
farm_5,rainfed,G4,0
farm_5,rainfed,G1,1
farm_5,rainfed,G3,1
farm_5,rainfed,G2,1
farm_5,rainfed,G3,0
farm_5,rainfed,G3,0
farm_5,rainfed,G4,1
farm_5,rainfed,G3,0
farm_5,rainfed,G2,1
farm_5,rainfed,G1,1
farm_5,rainfed,G3,0
farm_5,rainfed,G4,0
farm_5,rainfed,G4,1
farm_5,rainfed,G3,1
farm_5,rainfed,G2,1
farm_5,rainfed,G2,1
farm_5,rainfed,G4,1
farm_5,rainfed,G4,0
farm_5,rainfed,G4,1
farm_5,rainfed,G2,1
farm_5,rainfed,G4,0
farm_5,rainfed,G3,0
farm_5,rainfed,G3,0
farm_5,rainfed,G2,1
farm_5,rainfed,G1,1
farm_5,rainfed,G4,1
farm_5,rainfed,G4,1
farm_5,rainfed,G1,1
farm_6,rainfed,G4,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,0
farm_6,rainfed,G2,0
farm_6,rainfed,G1,1
farm_6,rainfed,G3,1
farm_6,rainfed,G1,1
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,0
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G4,0
farm_6,rainfed,G4,1
farm_6,rainfed,G1,0
farm_6,rainfed,G1,1
farm_6,rainfed,G4,0
farm_6,rainfed,G4,1
farm_6,rainfed,G4,1
farm_6,rainfed,G3,1
farm_6,rainfed,G2,1
farm_6,rainfed,G1,1
farm_6,rainfed,G2,0
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G2,1
farm_6,rainfed,G4,0
farm_6,rainfed,G1,0
farm_6,rainfed,G3,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G2,1
farm_6,rainfed,G2,1
farm_6,rainfed,G1,0
farm_6,rainfed,G3,0
farm_6,rainfed,G1,1
farm_6,rainfed,G2,1
farm_6,rainfed,G3,0
farm_6,rainfed,G4,0
farm_6,rainfed,G1,0
farm_6,rainfed,G1,0
farm_6,rainfed,G2,0
farm_6,rainfed,G4,0
farm_6,rainfed,G3,0
farm_6,rainfed,G1,1
farm_6,rainfed,G2,0
farm_6,rainfed,G4,1
farm_6,rainfed,G1,0
farm_6,rainfed,G1,1
farm_6,rainfed,G3,0
farm_6,rainfed,G4,1
farm_6,rainfed,G3,0
farm_6,rainfed,G3,1
farm_6,rainfed,G3,1
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G3,1
farm_6,rainfed,G2,0
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G2,0
farm_6,rainfed,G3,0
farm_6,rainfed,G4,1
farm_6,rainfed,G2,0
farm_6,rainfed,G1,0
farm_6,rainfed,G3,1
farm_6,rainfed,G1,0
farm_6,rainfed,G3,1
farm_6,rainfed,G2,0
farm_6,rainfed,G4,1
farm_6,rainfed,G1,1
farm_6,rainfed,G1,0
farm_6,rainfed,G3,1
farm_6,rainfed,G1,0
farm_6,rainfed,G2,1
farm_6,rainfed,G3,1
farm_6,rainfed,G4,0
farm_6,rainfed,G4,1
farm_6,rainfed,G4,0
farm_6,rainfed,G3,0
farm_6,rainfed,G4,1
farm_6,rainfed,G2,1
farm_6,rainfed,G2,0
farm_6,rainfed,G2,1
farm_6,rainfed,G3,1
farm_6,rainfed,G4,1
farm_6,rainfed,G3,1
farm_6,rainfed,G3,0
farm_6,rainfed,G2,1
farm_6,rainfed,G4,1
farm_6,rainfed,G1,1
farm_6,rainfed,G3,1
farm_6,rainfed,G3,0
farm_7,overhead,G2,0
farm_7,overhead,G4,1
farm_7,overhead,G3,0
farm_7,overhead,G4,1
farm_7,overhead,G4,0
farm_7,overhead,G3,0
farm_7,overhead,G1,0
farm_7,overhead,G2,1
farm_7,overhead,G4,0
farm_7,overhead,G2,1
farm_7,overhead,G2,1
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G1,0
farm_7,overhead,G1,1
farm_7,overhead,G2,1
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G1,1
farm_7,overhead,G4,1
farm_7,overhead,G3,1
farm_7,overhead,G1,0
farm_7,overhead,G3,1
farm_7,overhead,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G3,0
farm_7,overhead,G3,0
farm_7,overhead,G4,1
farm_7,overhead,G3,1
farm_7,overhead,G1,0
farm_7,overhead,G3,0
farm_7,overhead,G1,0
farm_7,overhead,G3,0
farm_7,overhead,G1,1
farm_7,overhead,G1,1
farm_7,overhead,G2,1
farm_7,overhead,G2,1
farm_7,overhead,G1,1
farm_7,overhead,G1,1
farm_7,overhead,G1,1
farm_7,overhead,G3,0
farm_7,overhead,G1,0
farm_7,overhead,G1,1
farm_7,overhead,G2,1
farm_7,overhead,G1,0
farm_7,overhead,G1,1
farm_7,overhead,G3,1
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G4,1
farm_7,overhead,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G3,0
farm_7,overhead,G1,1
farm_7,overhead,G4,1
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G2,1
farm_7,overhead,G2,0
farm_7,overhead,G2,1
farm_7,overhead,G2,0
farm_7,overhead,G4,1
farm_7,overhead,G1,1
farm_7,overhead,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G3,1
farm_7,overhead,G2,1
farm_7,overhead,G1,0
farm_7,overhead,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G4,0
farm_7,overhead,G3,0
farm_7,overhead,G2,1
farm_7,overhead,G3,1
farm_7,overhead,G3,1
farm_7,overhead,G2,1
farm_7,overhead,G4,1
farm_7,overhead,G2,1
farm_7,overhead,G4,0
farm_7,overhead,G4,1
farm_7,overhead,G2,1
farm_7,overhead,G3,0
farm_7,overhead,G1,1
farm_7,overhead,G4,1
farm_7,overhead,G1,1
farm_7,overhead,G1,1
farm_7,overhead,G4,1
farm_7,overhead,G3,0
farm_7,overhead,G1,0
farm_8,drip,G1,1
farm_8,drip,G1,1
farm_8,drip,G4,0
farm_8,drip,G1,0
farm_8,drip,G4,1
farm_8,drip,G1,0
farm_8,drip,G1,0
farm_8,drip,G2,1
farm_8,drip,G2,1
farm_8,drip,G2,1
farm_8,drip,G4,0
farm_8,drip,G3,1
farm_8,drip,G2,1
farm_8,drip,G4,1
farm_8,drip,G2,0
farm_8,drip,G2,1
farm_8,drip,G1,0
farm_8,drip,G2,1
farm_8,drip,G4,1
farm_8,drip,G3,0
farm_8,drip,G4,1
farm_8,drip,G1,0
farm_8,drip,G3,1
farm_8,drip,G3,0
farm_8,drip,G3,0
farm_8,drip,G1,1
farm_8,drip,G4,1
farm_8,drip,G3,0
farm_8,drip,G2,1
farm_8,drip,G4,1
farm_8,drip,G1,0
farm_8,drip,G3,0
farm_8,drip,G2,0
farm_8,drip,G2,1
farm_8,drip,G3,1
farm_8,drip,G3,0
farm_8,drip,G3,0
farm_8,drip,G1,1
farm_8,drip,G1,0
farm_8,drip,G4,1
farm_8,drip,G3,1
farm_8,drip,G3,1
farm_8,drip,G1,0
farm_8,drip,G3,0
farm_8,drip,G4,1
farm_8,drip,G4,1
farm_8,drip,G2,1
farm_8,drip,G3,0
farm_8,drip,G4,0
farm_8,drip,G3,0
farm_8,drip,G1,1
farm_8,drip,G1,0
farm_8,drip,G1,1
farm_8,drip,G1,1
farm_8,drip,G2,1
farm_8,drip,G2,1
farm_8,drip,G3,0
farm_8,drip,G3,0
farm_8,drip,G2,1
farm_8,drip,G1,0
farm_8,drip,G4,0
farm_8,drip,G4,1
farm_8,drip,G4,1
farm_8,drip,G1,1
farm_8,drip,G3,0
farm_8,drip,G2,1
farm_8,drip,G1,0
farm_8,drip,G4,1
farm_8,drip,G1,1
farm_8,drip,G2,0
farm_8,drip,G3,1
farm_8,drip,G1,1
farm_8,drip,G4,0
farm_8,drip,G2,1
farm_8,drip,G4,1
farm_8,drip,G4,1
farm_8,drip,G4,1
farm_8,drip,G1,0
farm_8,drip,G2,1
farm_8,drip,G3,1
farm_8,drip,G2,1
farm_8,drip,G1,1
farm_8,drip,G4,0
farm_8,drip,G3,0
farm_9,drip,G2,1
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G3,0
farm_9,drip,G1,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G1,1
farm_9,drip,G3,0
farm_9,drip,G3,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G2,0
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G2,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G1,1
farm_9,drip,G2,1
farm_9,drip,G1,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G4,1
farm_9,drip,G1,1
farm_9,drip,G4,1
farm_9,drip,G4,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G1,1
farm_9,drip,G1,0
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G3,0
farm_9,drip,G4,1
farm_9,drip,G4,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G3,0
farm_9,drip,G3,1
farm_9,drip,G3,1
farm_9,drip,G4,0
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G3,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G4,0
farm_9,drip,G3,1
farm_9,drip,G2,1
farm_9,drip,G4,1
farm_9,drip,G2,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G1,1
farm_9,drip,G4,1
farm_9,drip,G1,1
farm_9,drip,G1,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G3,1
farm_9,drip,G3,1
farm_9,drip,G4,0
farm_9,drip,G1,1
farm_9,drip,G1,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_9,drip,G3,1
farm_9,drip,G4,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G4,0
farm_10,rainfed,G2,1
farm_10,rainfed,G2,1
farm_10,rainfed,G3,1
farm_10,rainfed,G1,0
farm_10,rainfed,G1,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G1,0
farm_10,rainfed,G1,1
farm_10,rainfed,G3,1
farm_10,rainfed,G4,0
farm_10,rainfed,G2,1
farm_10,rainfed,G3,0
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G1,1
farm_10,rainfed,G3,1
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G1,0
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,0
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G1,0
farm_10,rainfed,G2,1
farm_10,rainfed,G3,1
farm_10,rainfed,G2,1
farm_10,rainfed,G3,0
farm_10,rainfed,G4,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,1
farm_10,rainfed,G3,1
farm_10,rainfed,G3,1
farm_10,rainfed,G3,0
farm_10,rainfed,G1,0
farm_10,rainfed,G1,1
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,0
farm_10,rainfed,G1,1
farm_10,rainfed,G1,1
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,0
farm_10,rainfed,G4,1
farm_10,rainfed,G1,1
farm_10,rainfed,G3,1
farm_10,rainfed,G1,1
farm_10,rainfed,G2,1
farm_10,rainfed,G3,1
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G3,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,1
farm_10,rainfed,G2,1
farm_10,rainfed,G1,1
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G4,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G4,1
farm_10,rainfed,G4,1
farm_10,rainfed,G1,1
farm_10,rainfed,G4,1
farm_10,rainfed,G2,1
farm_10,rainfed,G2,1
farm_10,rainfed,G4,1
farm_10,rainfed,G3,1
farm_10,rainfed,G1,1
farm_10,rainfed,G3,0
farm_11,drip,G3,0
farm_11,drip,G2,0
farm_11,drip,G3,1
farm_11,drip,G1,0
farm_11,drip,G1,0
farm_11,drip,G3,0
farm_11,drip,G4,1
farm_11,drip,G1,1
farm_11,drip,G4,1
farm_11,drip,G2,1
farm_11,drip,G2,0
farm_11,drip,G4,1
farm_11,drip,G3,1
farm_11,drip,G3,0
farm_11,drip,G1,0
farm_11,drip,G4,0
farm_11,drip,G3,1
farm_11,drip,G3,1
farm_11,drip,G4,1
farm_11,drip,G3,1
farm_11,drip,G1,0
farm_11,drip,G2,0
farm_11,drip,G3,0
farm_11,drip,G4,1
farm_11,drip,G1,1
farm_11,drip,G4,1
farm_11,drip,G1,0
farm_11,drip,G2,0
farm_11,drip,G2,1
farm_11,drip,G1,0
farm_11,drip,G2,1
farm_11,drip,G1,1
farm_11,drip,G3,1
farm_11,drip,G3,1
farm_11,drip,G2,1
farm_11,drip,G4,1
farm_11,drip,G1,0
farm_11,drip,G4,1
farm_11,drip,G2,1
farm_11,drip,G1,0
farm_11,drip,G4,0
farm_11,drip,G1,1
farm_11,drip,G1,1
farm_11,drip,G3,1
farm_11,drip,G1,1
farm_11,drip,G2,0
farm_11,drip,G2,1
farm_11,drip,G1,1
farm_11,drip,G3,0
farm_11,drip,G1,1
farm_11,drip,G2,1
farm_11,drip,G3,0
farm_11,drip,G1,1
farm_11,drip,G1,0
farm_11,drip,G2,0
farm_11,drip,G2,1
farm_11,drip,G3,0
farm_11,drip,G2,1
farm_11,drip,G3,1
farm_11,drip,G2,1
farm_11,drip,G4,1
farm_11,drip,G4,0
farm_11,drip,G4,0
farm_11,drip,G1,0
farm_11,drip,G1,1
farm_11,drip,G1,1
farm_11,drip,G2,0
farm_11,drip,G1,0
farm_11,drip,G4,0
farm_11,drip,G3,0
farm_11,drip,G2,1
farm_11,drip,G4,1
farm_11,drip,G3,0
farm_11,drip,G4,1
farm_11,drip,G3,1
farm_11,drip,G2,1
farm_11,drip,G3,1
farm_11,drip,G4,0
farm_11,drip,G3,1
farm_11,drip,G3,1
farm_11,drip,G3,0
farm_11,drip,G2,1
farm_11,drip,G2,0
